project_id,project_name,quote_number,customer_budget,probability,option,product_version,vendor_price,qty,costing,selling,est_competitor_cost,Demand_Level,Stock_Availability,Installation_Cost,Customer_Type,est_competitor_cost,solution,brand,product_line,spare_cost,project_status
ebe6efe2,Incentivize Efficient Infrastructures,QT-2461,264853,100,Standard,v1.7,2023,29,2718.83,4857.58,5445.67,Low,In Stock,15,Corporate,4951.42,On-Premise,BrandB,Networking,161.62,Won
886a3364,Seize Efficient Functionalities,QT-6229,151300,10,Standard,v1.3,1942,20,2273.34,3427.87,3638.05,High,Low Stock,20,Enterprise,3098.78,Cloud,BrandB,Networking,484.48,Won
93eaf439,Maximize Mission-Critical Convergence,QT-1935,133153,90,Standard,v3.0,1232,29,1597.9,4516.07,3307.6,Medium,In Stock,2,SME,1826.28,Cloud,BrandB,Security,879.77,Won
c7b0f137,Engineer World-Class Content,QT-3422,432498,30,Custom,v2.1,2212,40,3136.89,6027.99,6373.01,Low,In Stock,5,Corporate,2255.08,On-Premise,BrandC,Networking,817.38,Lost
708434bf,Seize Innovative Schemas,QT-7158,311072,100,Standard,v1.6,403,31,869.57,1699.74,3169.9,High,In Stock,150,Enterprise,1778.84,Cloud,BrandC,Software,732.33,Won
f18407f7,Optimize Robust Markets,QT-1890,35063,30,Custom,v2.6,1232,2,1602.29,3144.31,2064.56,Medium,In Stock,8,SME,582.36,Cloud,BrandA,Networking,60.54,Lost
223e18d8,Target Back-End Portals,QT-7754,231156,100,Premium,v3.3,1445,40,1958.54,2931.09,2986.08,High,Low Stock,70,Government,3965.58,On-Premise,BrandA,Security,441.94,Lost
6e57e02c,Incentivize Intuitive Deliverables,QT-1502,61060,90,Premium,v3.9,1956,30,2389.14,3315.18,4447.3,Medium,In Stock,40,Corporate,420.36,Hybrid,BrandB,Security,381.02,Lost
97d9c414,Utilize Virtual Channels,QT-7981,219753,50,Premium,v2.4,2032,20,3968.84,4175.81,4898.12,High,In Stock,60,Enterprise,4468.67,Cloud,BrandB,Networking,92.45,Won
0b854c3b,Enable Plug-And-Play Niches,QT-4452,156185,50,Standard,v5.0,956,32,1158.43,3026.17,3617.22,Low,In Stock,0,SME,4246.02,On-Premise,BrandC,Security,118.02,Won
bf6f4998,Integrate Open-Source Schemas,QT-9318,48741,30,Custom,v5.2,1965,19,2668.33,4226.1,4833.55,Medium,In Stock,12,Corporate,1415.84,Cloud,BrandC,Software,400.16,Won
bb963e95,Brand Plug-And-Play E-Markets,QT-6484,457983,70,Premium,v4.3,2136.25,9,3043.59,3292.88,2871.35,High,In Stock,5,Government,5951.86,Hybrid,BrandC,Security,516.02,Won
28c63185,Streamline Back-End Schemas,QT-7302,37894,90,Premium,v5.5,2245.36,11,422.96,1331.03,711.81,Low,In Stock,100,Enterprise,2779.06,Hybrid,BrandC,Security,432.5,Won
c475aac8,Engineer Sticky Paradigms,QT-2682,51987,30,Custom,v4.0,3100,28,3116.22,5850.19,6778.27,Medium,In Stock,120,Corporate,205.63,On-Premise,BrandA,Software,369.55,Lost
0616606c,Facilitate End-To-End Metrics,QT-4880,412173,30,Premium,v2.2,1018.52,9,1018.52,1813.25,2743.59,High,Low Stock,15,SME,5787.35,Cloud,BrandC,Security,735.62,Won
9f6406c9,Empower E-Business Experiences,QT-7775,69067,30,Custom,v5.9,512.25,31,512.25,1032.45,2133.67,High,In Stock,180,Enterprise,4053.78,Cloud,BrandC,Networking,327.55,Lost
a314262f,Envisioneer Compelling Eyeballs,QT-2988,37263,10,Standard,v5.2,4754.65,14,4754.65,6274.06,7513.78,Medium,In Stock,150,Government,896.34,On-Premise,BrandA,Networking,286.66,Lost
79bd724e,Embrace Ubiquitous Bandwidth,QT-5380,456303,10,Standard,v2.3,4835.03,44,4835.03,7793.42,7827.45,Low,In Stock,3,Corporate,992.17,On-Premise,BrandA,Networking,910.84,Won
0ed27e15,Mesh Rich Technologies,QT-8051,245185,50,Custom,v4.6,4080.31,22,4080.31,4882.27,4886.82,Medium,In Stock,25,SME,1090.39,Cloud,BrandA,Networking,61.54,Won
4fefc3fa,Syndicate Holistic Networks,QT-7930,482771,70,Standard,v4.8,1662.15,34,1662.15,3711.34,4606.23,High,In Stock,2,Government,2922.86,Hybrid,BrandC,Networking,592.94,Lost
6d652925,Disintermediate Robust Eyeballs,QT-5053,266388,90,Standard,v4.9,668.83,2,668.83,2977.53,3427.42,Low,In Stock,45,Corporate,2238.58,On-Premise,BrandB,Security,523.83,Lost
62545edd,Repurpose Frictionless Initiatives,QT-2272,157590,50,Custom,v3.2,3484.32,12,3484.32,4273.47,4879.37,High,In Stock,30,SME,5832.3,On-Premise,BrandB,Networking,79.37,Lost
37d4beca,Drive Cross-Media Supply-Chains,QT-2150,67638,90,Standard,v2.9,2312.73,2,2312.73,4524.56,5411.94,Medium,In Stock,90,Enterprise,1990.98,On-Premise,BrandC,Networking,970.24,Won
6cc5e891,Disintermediate Scalable Action-Items,QT-1271,126206,100,Premium,v1.3,785.78,7,785.78,1952.35,3122.37,High,Low Stock,50,Corporate,5203.19,On-Premise,BrandC,Networking,341.88,Won
e88cf0f6,Orchestrate Mission-Critical Supply-Chains,QT-5338,52770,100,Standard,v5.1,2576.85,21,2576.85,4510.54,4024.53,Low,In Stock,0.5,SME,4013.38,Hybrid,BrandC,Software,626.33,Won
5c1851e8,Deploy Robust Users,QT-1267,98842,50,Custom,v5.1,365.06,7,365.06,2302.3,1929.05,Medium,In Stock,3,Government,3848.39,On-Premise,BrandA,Software,484.32,Won
bc78d512,Embrace Innovative Networks,QT-5059,363487,100,Premium,v3.2,4564.74,18,4564.74,6218.49,5000.44,High,In Stock,60,Enterprise,2453.99,Hybrid,BrandA,Networking,219.08,Won
fa8ff983,Implement One-To-One Functionalities,QT-2451,108227,90,Premium,v3.3,1442.14,33,1442.14,1803.98,2038.82,Medium,In Stock,100,Corporate,2679.67,Hybrid,BrandC,Software,976.51,Won
98c4393b,Leverage Customized E-Markets,QT-2157,473918,30,Custom,v3.8,3380.11,23,3380.11,5902.49,4510.32,Low,In Stock,20,SME,3206.13,Cloud,BrandC,Networking,772.21,Lost
4297d2ca,Orchestrate Open-Source Channels,QT-3671,325627,100,Premium,v5.7,1696.21,28,1696.21,2726.47,2623.26,High,In Stock,15,Government,4858.03,On-Premise,BrandB,Security,9.68,Lost
ee16910f,Productize Cross-Platform E-Business,QT-9482,328523,10,Premium,v2.1,2696.33,6,2696.33,3337.23,3465.16,Medium,In Stock,35,Corporate,3762.88,On-Premise,BrandA,Software,633.47,Won
15fb35a5,Expedite Scalable Deliverables,QT-7523,230216,90,Premium,v4.6,2824.21,32,2824.21,3042.46,2402.08,Low,In Stock,25,SME,3799.14,Cloud,BrandA,Software,135.76,Lost
af876dc8,Strategize Leading-Edge Initiatives,QT-2911,61755,90,Standard,v4.8,1087.3,13,1087.3,2900.89,3173.39,High,In Stock,30,Enterprise,3056.74,Hybrid,BrandC,Security,724.23,Lost
ea9a26be,Enable Synergistic Supply-Chains,QT-5100,382307,50,Custom,v3.0,4854.01,44,4854.01,6918.95,5510.45,High,In Stock,15,Corporate,1465.44,On-Premise,BrandC,Security,800.92,Lost
0a5a4ae1,Unleash User-Centric Relationships,QT-7752,165429,90,Standard,v3.8,3920.64,3,3920.64,4068.74,2680.78,Low,In Stock,350,Government,327.65,On-Premise,BrandB,Security,333.11,Lost
f65b503e,Matrix Next-Generation E-Commerce,QT-1998,246400,90,Custom,v4.7,4709.59,47,4709.59,6294.66,7262.46,Medium,Low Stock,180,Enterprise,953.3,Hybrid,BrandB,Networking,431.63,Won
7364d7a4,Leverage Vertical Relationships,QT-1113,213703,70,Premium,v1.7,4495.17,26,4495.17,5252.01,4832.58,High,In Stock,300,Enterprise,4277.94,Cloud,BrandA,Networking,226.5,Won
9d7c3d73,Harness Integrated Architectures,QT-5335,433269,100,Custom,v1.2,3069.92,22,3069.92,5040.92,3922.1,Medium,In Stock,5,SME,5104.83,Hybrid,BrandC,Security,734.48,Won
6a9181e5,Unleash Open-Source Web-Readiness,QT-6715,155238,90,Standard,v2.7,4625,29,4625,5230.66,5297.39,High,In Stock,150,Government,3635.98,Cloud,BrandB,Software,623.44,Lost
4e9c9341,Streamline Proactive E-Services,QT-9554,396053,70,Standard,v2.1,624.76,32,624.76,2728.48,3538.46,Low,In Stock,8,Corporate,549.9,Cloud,BrandC,Software,966.75,Lost
5893382c,E-Enable Impactful Functionalities,QT-4704,32426,90,Standard,v2.2,1140.72,19,1140.72,2362.25,1509.71,High,Low Stock,250,Enterprise,4963.01,Hybrid,BrandA,Security,907.5,Won
4dedec77,Implement Out-Of-The-Box E-Services,QT-2744,247019,100,Premium,v2.3,417.09,21,417.09,3233.61,3602.28,Medium,In Stock,10,SME,187.34,Cloud,BrandB,Software,301.08,Won
841679a3,Optimize Killer Applications,QT-4627,140204,30,Standard,v5.4,1761.59,25,1761.59,2260.4,1016.44,High,In Stock,60,Corporate,1619.35,Hybrid,BrandA,Networking,293.22,Won
011b17f4,Matrix Innovative Markets,QT-9296,455087,70,Standard,v5.0,2065.65,46,2065.65,3154.74,1809.79,Medium,In Stock,25,SME,2572.13,On-Premise,BrandA,Software,414.68,Won
2da02ee8,Incubate World-Class Portals,QT-4356,74641,90,Standard,v5.3,1502.48,50,1502.48,1931.55,2025.61,Low,In Stock,50,Corporate,1706.21,Hybrid,BrandC,Networking,824.71,Lost
82b7a841,Deliver Intuitive Bandwidth,QT-9947,341840,90,Premium,v3.7,4177.94,50,4177.94,6959.55,7081.46,High,In Stock,3,Government,1247.32,On-Premise,BrandC,Security,665.84,Lost
13a22df8,Engineer Enterprise Vortals,QT-1213,257761,70,Standard,v2.1,1912.42,36,1912.42,4556.7,4968.99,Medium,Low Stock,70,Enterprise,3876.51,On-Premise,BrandC,Networking,107.32,Won
e252e37b,Transition Impactful Applications,QT-8181,225811,50,Custom,v2.1,1548.49,48,1548.49,2396.52,3074.79,High,In Stock,200,Enterprise,5308.35,Cloud,BrandC,Security,175.67,Won
b64b208c,Iterate Killer Partnerships,QT-4725,319205,90,Standard,v2.7,2804.94,25,2804.94,4818.89,6246.45,Medium,In Stock,150,Corporate,5355.15,Hybrid,BrandA,Software,477.18,Won
8843ee30,Deploy Turn-Key E-Commerce,QT-8127,448163,90,Premium,v3.6,876.44,17,876.44,3346.38,3395.28,High,In Stock,220,Government,1039.93,On-Premise,BrandC,Networking,64.47,Lost
c6c88a83,Transition Viral Content,QT-5145,235081,70,Custom,v5.5,4050.55,50,4050.55,5760.63,5229.5,Low,In Stock,30,SME,3696.58,Cloud,BrandC,Software,424.61,Won
58d15c4a,Repurpose Cutting-Edge Infrastructures,QT-3702,461484,70,Premium,v4.2,557.84,23,557.84,2193.83,3079.39,Medium,In Stock,2,Corporate,5649.67,Cloud,BrandC,Software,113.21,Lost
477cdd99,Monetize Compelling E-Commerce,QT-9313,80029,30,Custom,v2.6,4937.06,39,4937.06,5738.43,5050.93,High,Low Stock,150,Enterprise,3078.64,On-Premise,BrandB,Software,929.46,Won
971a3c30,Monetize World-Class Content,QT-5165,28505,10,Standard,v4.0,3906.77,18,3906.77,4276.77,4093.68,Low,In Stock,1,SME,3603.22,Cloud,BrandC,Networking,354.15,Won
50fdd23f,Syndicate Strategic Models,QT-6798,22171,50,Standard,v2.8,1153.84,33,1153.84,3855.77,2591.14,Medium,In Stock,5,Corporate,2381.66,Hybrid,BrandB,Networking,290.49,Won
9432ee27,Syndicate Seamless Synergies,QT-8345,456998,100,Standard,v2.3,226.51,40,226.51,2937.72,1513.77,High,In Stock,80,Enterprise,2228.43,Hybrid,BrandC,Networking,762.6,Lost
8fcc3968,Re-Contextualize Bricks-And-Clicks E-Business,QT-9972,144175,100,Custom,v3.5,4114.21,47,4114.21,6050.2,7438.15,Low,In Stock,2,SME,4390.57,Hybrid,BrandC,Networking,937.08,Won
708f8e43,Redefine Proactive E-Tailers,QT-9111,416733,70,Premium,v4.5,3592.92,41,3592.92,4676.11,5684.05,Medium,In Stock,300,Government,1422.77,On-Premise,BrandC,Networking,705.19,Won
16644141,Iterate Synergistic Mindshare,QT-1674,172567,50,Standard,v3.4,3699.23,9,3699.23,4811.94,5399.86,High,In Stock,8,Corporate,1604.55,On-Premise,BrandB,Software,607.23,Won
27b20bca,Exploit Back-End Supply-Chains,QT-6646,452706,90,Premium,v5.0,3902.1,50,3902.1,6107.37,5834.23,Low,In Stock,60,Enterprise,2758.8,Cloud,BrandB,Security,925.49,Lost
5d618ea6,Productize One-To-One Users,QT-8037,42625,90,Standard,v2.5,555.41,27,555.41,3257.03,2276.91,High,Low Stock,90,Government,5203.02,On-Premise,BrandB,Software,456.63,Won
49e183f3,Synergize Compelling Content,QT-2361,262282,70,Standard,v5.9,1920.64,30,1920.64,4593.19,3562.5,Medium,In Stock,25,SME,214.95,Cloud,BrandB,Security,251.23,Lost
1c7b928a,Syndicate Real-Time Experiences,QT-4224,463374,70,Custom,v4.0,756.17,48,756.17,3117.81,2368.54,High,In Stock,450,Enterprise,4448.96,Cloud,BrandC,Security,254.47,Won
6eb21d67,Repurpose Collaborative Networks,QT-5283,17731,90,Standard,v4.2,4342.9,30,4342.9,6304.79,6452.47,Medium,Low Stock,80,Corporate,700.52,On-Premise,BrandC,Networking,279.67,Lost
f6e9cced,Transition Leading-Edge Web-Readiness,QT-3270,463715,90,Premium,v3.7,3191.83,18,3191.83,3535.84,4179.63,Low,In Stock,1,SME,1201.84,Hybrid,BrandC,Networking,129.72,Won
65d3fa12,Deploy Interactive Communities,QT-5909,362660,100,Custom,v1.1,1788.31,50,1788.31,2357.03,2837.62,High,In Stock,25,Corporate,5906.6,Hybrid,BrandC,Networking,713.64,Lost
4b6c9619,Seize Back-End Schemas,QT-8783,391807,100,Standard,v2.0,505.08,18,505.08,3210.89,2550.69,Medium,In Stock,30,Enterprise,1820.08,On-Premise,BrandB,Networking,989.03,Lost
bf0e7679,Synthesize Distributed Deliverables,QT-5807,378653,70,Premium,v5.6,1692.72,13,1692.72,3551.36,4915.96,High,In Stock,12,Corporate,4114.5,Cloud,BrandA,Security,516.3,Lost
bdcdbea3,Synthesize Scalable Synergies,QT-7074,292154,100,Custom,v5.2,1760.88,39,1760.88,1887.55,2601.24,Medium,Low Stock,60,SME,4874.49,Cloud,BrandA,Software,657.38,Won
f7787469,Unleash Magnetic Markets,QT-1580,39439,30,Standard,v3.2,3702.11,11,3702.11,4096.38,4259.44,High,In Stock,40,Government,1504.51,On-Premise,BrandB,Software,472.79,Lost
bd2e53ff,Synergize Frictionless Experiences,QT-2640,143767,30,Premium,v4.3,3260.28,36,3260.28,5284.44,5619.6,Low,In Stock,55,Enterprise,2821.59,On-Premise,BrandB,Networking,938.01,Won
bfd7f724,Aggregate Impactful Relationships,QT-2886,451078,70,Premium,v1.1,4458.62,49,4458.62,4573.3,4332.1,Medium,In Stock,8,SME,1323.64,Hybrid,BrandA,Security,39.8,Lost
e7ed92cf,Benchmark 24/7 Interfaces,QT-5587,389728,10,Standard,v2.6,2466.63,25,2466.63,3032.97,2276.16,High,In Stock,20,Corporate,2365.01,On-Premise,BrandA,Networking,740.82,Lost
e3bfb1a0,Enable Sticky Methodologies,QT-1034,43992,90,Standard,v3.2,774.05,12,774.05,2465.38,2033.3,Medium,In Stock,150,Enterprise,5877.4,Hybrid,BrandC,Networking,533.79,Lost
df92c753,Morph Clicks-And-Mortar Users,QT-1709,295422,50,Standard,v2.2,3623.57,35,3623.57,5730.07,6503.61,Low,In Stock,2,SME,3432.97,On-Premise,BrandA,Security,741.42,Won
1b6a5320,Visualize 24/7 Technologies,QT-3962,355113,70,Premium,v1.7,3851.77,45,3851.77,5842.46,4385.64,High,In Stock,500,Government,4283.25,Hybrid,BrandC,Networking,259.55,Lost
c9bb6d30,Innovate Sticky Deliverables,QT-7123,224768,100,Standard,v5.3,2894.13,18,2894.13,3644.51,2492.73,Medium,Low Stock,220,Enterprise,1055.93,Hybrid,BrandB,Software,246.71,Won
13b61747,Transform Compelling Systems,QT-7332,74453,30,Custom,v4.3,3900.64,17,3900.64,6065.96,4703.97,Low,In Stock,15,Corporate,5468.1,On-Premise,BrandC,Software,29.44,Lost
7e46d661,Visualize Impactful Interfaces,QT-3421,17137,10,Standard,v3.2,2570.22,47,2570.22,3358.24,1980.43,High,In Stock,70,Enterprise,971.09,On-Premise,BrandA,Software,997.8,Lost
e73b07a5,Iterate Rich Info-Mediaries,QT-6316,354502,70,Custom,v2.2,2709.12,10,2709.12,3752.78,4819.16,Medium,In Stock,20,SME,4499.96,On-Premise,BrandA,Security,889.48,Lost
0bbf1571,Streamline Scalable Relationships,QT-7757,128262,30,Standard,v4.9,2252.2,28,2252.2,4517.03,5128,Medium,Low Stock,180,Corporate,510.2,On-Premise,BrandA,Security,65.7,Won
0bbf1571,Streamline Scalable Relationships,QT-7757,128262,30,Standard,v4.9,2252.2,28,2252.2,4517.03,5128,Medium,Low Stock,180,Corporate,510.2,On-Premise,BrandA,Security,65.7,Won
261b21ff,E-Enable User-Centric Architectures,QT-2501,85790,10,Custom,v5.0,322.01,25,322.01,2305.95,2228.47,Low,In Stock,40,Government,941.81,Hybrid,BrandA,Security,139.32,Won
75b43544,Re-Intermediate Seamless Paradigms,QT-8040,471715,100,Premium,v2.9,717.88,16,717.88,3280.63,2074.13,High,In Stock,60,Corporate,4188.65,Cloud,BrandB,Software,425.25,Lost
57708e5f,Revolutionize Killer Networks,QT-6007,487486,10,Premium,v3.4,350.86,9,350.86,2357.94,2332.79,Medium,In Stock,,,2131.56,Hybrid,BrandC,Security,605.17,Won
05f6284c,Evolve Impactful Niches,QT-3127,184942,100,Premium,v1.4,3254.77,4,3254.77,5002.86,4923.28,High,In Stock,,,5371.37,Cloud,BrandA,Security,244.66,Lost
6f65b137,Engineer B2C Functionalities,QT-7533,39545,100,Custom,v4.4,1708.91,31,1708.91,2080.57,1100.18,Medium,Low Stock,,,894.63,Cloud,BrandA,Security,521.45,Lost
ce965bc1,Implement Global Info-Mediaries,QT-4059,363526,90,Standard,v2.4,2641.14,32,2641.14,3807.52,3609.07,High,In Stock,,,3733.11,Cloud,BrandB,Networking,115.47,Lost
d3f2c3d2,Orchestrate Collaborative Partnerships,QT-9156,489962,90,Custom,v1.0,4556.32,50,4556.32,5425.41,5120.92,Low,In Stock,,,1821.14,On-Premise,BrandC,Networking,767.86,Lost
1b409371,Morph Dot-Com E-Business,QT-9619,36453,10,Custom,v3.7,1396.6,21,1396.6,2204.17,2551.72,Medium,In Stock,,,2801.76,Hybrid,BrandB,Security,791.24,Won
7ff31f9a,Optimize Global Supply-Chains,QT-4405,75402,100,Premium,v1.6,2169.84,45,2169.84,5091.57,5496.85,High,In Stock,,,3950.9,Hybrid,BrandB,Software,370.52,Won
ddeb5a94,Enable Synergistic Channels,QT-3882,267735,30,Custom,v5.6,3826.65,7,3826.65,5066.63,3702.54,Medium,In Stock,,,5256.02,On-Premise,BrandB,Networking,969.83,Lost
1eae7987,Seize Sticky Channels,QT-5283,458201,30,Standard,v2.6,1298.23,7,1298.23,3985.17,3609.01,Low,In Stock,,,3570.49,Hybrid,BrandA,Networking,95.77,Lost
e1afe413,Synergize Clicks-And-Mortar Networks,QT-4589,295522,30,Premium,v1.9,569.5,10,569.5,2499.8,2877.38,Medium,In Stock,,,4232.17,On-Premise,BrandA,Software,98.29,Lost
bfc86655,Re-Contextualize Viral Infrastructures,QT-1031,237064,100,Premium,v5.8,1590.81,14,1590.81,3995.76,4005.17,High,In Stock,,,5101.49,On-Premise,BrandB,Security,239.09,Lost
04f56bc8,Evolve Efficient Vortals,QT-6670,141646,100,Premium,v5.7,973.86,15,973.86,2531.51,3600.98,Medium,In Stock,,,4222.54,On-Premise,BrandA,Security,139.46,Lost
ac940a2b,Iterate Virtual Mindshare,QT-9577,336441,90,Custom,v3.2,4662.55,32,4662.55,6435.57,6911.65,Low,In Stock,,,4556.22,Hybrid,BrandA,Networking,925.87,Lost
c65457d2,Innovate Integrated Synergies,QT-8690,292463,90,Premium,v1.2,4078.98,49,4078.98,5607.28,4596.08,High,In Stock,,,883.2,Cloud,BrandB,Software,344.51,Lost
c3c6cd36,Engineer Open-Source E-Services,QT-5840,64263,30,Premium,v1.4,3240.34,6,3240.34,3906.54,2618.25,Medium,Low Stock,,,1442.98,Hybrid,BrandA,Software,840.49,Lost
9d8d3963,Envisioneer Innovative Networks,QT-9857,465614,90,Standard,v3.3,4383.01,46,4383.01,6578.12,7005.38,Low,In Stock,,,467.41,On-Premise,BrandB,Software,745.43,Won
5dc73b8a,Orchestrate Proactive Applications,QT-3089,473596,90,Standard,v3.5,4057.63,45,4057.63,4971.87,3551.4,High,In Stock,,,725.18,Cloud,BrandC,Security,812.09,Won
71ecf21a,Drive Clicks-And-Mortar E-Business,QT-4972,294277,50,Custom,v2.8,1095.54,46,1095.54,1266.06,1523.39,Medium,In Stock,,,3373.31,On-Premise,BrandC,Networking,64.39,Lost
b67e6f51,Deploy Enterprise Systems,QT-8498,48527,70,Custom,v1.6,4484.28,44,4484.28,6456.15,7776.84,High,In Stock,,,3469.79,Hybrid,BrandB,Networking,975.41,Won
44f214d8,Matrix Mission-Critical Experiences,QT-2745,177286,90,Standard,v3.3,2788.84,13,2788.84,3402.46,3628.88,Medium,Low Stock,,,1726.82,Cloud,BrandB,Software,655.94,Lost
44f214d5,Matrix Mission-Critical Experiences,QT-2333,177286,90,Standard,v3.3,2788.84,13,2788.84,3402.46,3628.88,Medium,Low Stock,,,1726.82,Cloud,BrandB,Software,655.94,Lost
